hour;weekend_holiday_flag;rain_flag;percentage;numhi;numlow;numtotal;rangehi;rangelow
0;0;0;96.532;2;4;173;538;100
0;0;1;94.203;2;2;69;461;66
0;1;0;94.286;1;3;70;586;173
0;1;1;92.105;0;3;38;523;101
1;0;0;94.152;7;3;171;326;53
1;0;1;94.203;2;2;69;266;39
1;1;0;93.243;2;3;74;557;156
1;1;1;92.105;0;3;38;486;119
2;0;0;96.491;3;3;171;204;27
2;0;1;97.101;1;1;69;169;18
2;1;0;95.89;0;3;73;499;137
2;1;1;89.474;1;3;38;406;114
3;0;0;98.246;3;0;171;133;13
3;0;1;95.652;2;1;69;110;10
3;1;0;93.243;2;3;74;364;99
3;1;1;89.474;1;3;38;315;78
4;0;0;97.076;4;1;171;93;9
4;0;1;95.652;2;1;69;76;7
4;1;0;95.946;1;2;74;253;72
4;1;1;92.105;1;2;38;224;50
5;0;0;96.491;5;1;171;87;17
5;0;1;95.652;2;1;69;72;16
5;1;0;90.541;2;5;74;188;61
5;1;1;94.737;0;2;38;182;41
6;0;0;95.93;1;6;172;133;47
6;0;1;95.652;0;3;69;125;36
6;1;0;94.595;2;2;74;153;53
6;1;1;92.105;1;2;38;144;35
7;0;0;94.767;0;9;172;635;173
7;0;1;95.652;1;2;69;538;119
7;1;0;94.595;2;2;74;105;32
7;1;1;100.0;0;0;38;106;12
8;0;0;93.023;0;12;172;1383;461
8;0;1;92.754;0;5;69;1335;307
8;1;0;93.243;2;3;74;167;42
8;1;1;94.737;0;2;38;165;19
9;0;0;93.605;0;11;172;1153;439
9;0;1;91.304;0;6;69;1202;248
9;1;0;95.946;2;1;74;301;58
9;1;1;92.105;0;3;38;313;27
10;0;0;95.93;2;5;172;565;240
10;0;1;92.754;0;5;69;585;96
10;1;0;94.595;2;2;74;387;105
10;1;1;92.105;0;3;38;396;53
11;0;0;97.661;2;2;171;492;230
11;0;1;88.406;0;8;69;528;74
11;1;0;93.243;2;3;74;475;163
11;1;1;89.474;0;4;38;510;71
12;0;0;95.906;6;1;171;528;250
12;0;1;88.571;0;8;70;592;80
12;1;0;94.595;1;3;74;563;197
12;1;1;89.474;0;4;38;619;89
13;0;0;95.906;6;1;171;686;323
13;0;1;91.304;0;6;69;776;113
13;1;0;93.243;2;3;74;683;237
13;1;1;94.737;0;2;38;722;112
14;0;0;95.322;4;4;171;1086;481
14;0;1;89.855;0;7;69;1188;186
14;1;0;97.297;0;2;74;691;247
14;1;1;92.105;0;3;38;761;108
15;0;0;94.152;4;6;171;1208;449
15;0;1;91.429;1;5;70;1182;168
15;1;0;90.541;3;4;74;521;192
15;1;1;94.737;0;2;38;573;76
16;0;0;97.076;1;4;171;914;399
16;0;1;94.203;0;4;69;931;153
16;1;0;95.946;1;2;74;581;217
16;1;1;92.105;0;3;38;626;90
17;0;0;96.491;3;3;171;963;412
17;0;1;92.857;0;5;70;1014;170
17;1;0;94.595;2;2;74;679;226
17;1;1;92.105;0;3;38;698;89
18;0;0;97.076;0;5;171;1415;447
18;0;1;92.857;0;5;70;1448;176
18;1;0;91.892;4;2;74;697;218
18;1;1;92.105;0;3;38;697;80
19;0;0;98.246;0;3;171;1416;456
19;0;1;91.304;0;6;69;1380;164
19;1;0;93.243;3;2;74;758;247
19;1;1;92.105;0;3;38;750;118
20;0;0;97.076;3;2;171;1193;409
20;0;1;91.429;0;6;70;1115;156
20;1;0;91.892;4;2;74;798;235
20;1;1;94.737;0;2;38;705;101
21;0;0;98.246;0;3;171;906;334
21;0;1;95.652;0;3;69;823;134
21;1;0;97.297;0;2;74;667;222
21;1;1;97.368;1;0;38;632;80
22;0;0;97.076;2;3;171;662;201
22;0;1;94.286;0;4;70;582;94
22;1;0;94.595;2;2;74;539;158
22;1;1;94.737;1;1;38;428;75
23;0;0;97.076;1;4;171;587;154
23;0;1;94.203;0;4;69;453;80
23;1;0;95.946;2;1;74;477;135
23;1;1;94.737;1;1;38;396;53
